soortgroep;meetnet;protocol;protocol_naam;type;duur_meetcyclus;generatie;bezoeken;opstartjaar;type_soort;start_telperiode;einde_telperiode;actief
amfibieën;Boomkikker;Amfibieën - Larven en metamorfen;Telling larven en metamorfen;Steekproef;3;generatie1;1;2016;EPS;1/06/2021;15/07/2021;1
amfibieën;Boomkikker;Padden en kikkers - Roepkoren;Roepkoortelling;Steekproef;3;generatie1;2;2016;EPS;1/04/2021;30/06/2021;1
amfibieën;Heikikker;Heikikker - DNA eitjes;Telling en DNA-analyse eitjes;Pilootproject;3;generatie1;2;2021;EPS;NA;NA;1
amfibieën;Kamsalamander;Amfibieën - Fuiken;Fuikentelling;Steekproef;3;generatie1;2;2017;EPS;15/03/2021;31/05/2021;1
amfibieën;Kamsalamander;Amfibieën - Larven en metamorfen;Telling larven en metamorfen;Steekproef;3;generatie1;1;2017;EPS;1/06/2021;15/07/2021;1
amfibieën;Knoflookpad;Knoflookpad - Roepkoren;Roepkoortelling;Integraal;1;generatie1;2;2017;EPS;15/03/2021;30/04/2021;1
amfibieën;Poelkikker;Padden en kikkers - Roepkoren;Roepkoortelling;Pilootproject;3;generatie1;2;2021;EPS;1/05/2021;31/05/2021;1
amfibieën;Poelkikker;Poelkikker - DNA larven;Telling en DNA-analyse larven;Pilootproject;3;generatie1;1;2021;EPS;1/06/2021;31/07/2021;1
amfibieën;Rugstreeppad;Rugstreeppad - Transect;Transecttelling rugstreeppad;Integraal;3;generatie1;3;2019;EPS;1/04/2021;30/06/2021;1
amfibieën;Vuursalamander;Vuursalamander - Transect;Transecttelling vuursalamander;Integraal;1;generatie1;2;2016;VPS;15/08/2021;31/10/2021;1
amfibieën;Vroedmeesterpad;Vroedmeesterpad - Larven;Telling larven en metamorfen;Integraal;1;generatie1;1;2022;EPS;1/06/2021;15/09/2021;1
amfibieën;Vroedmeesterpad;Vroedmeesterpad - Roepkoren;Roepkoortelling;Integraal;1;generatie1;2;2022;EPS;1/05/2021;15/07/2021;1
andere zoogdieren;Das;Burchtentelling das;;Integraal;3;generatie1;1;2016;VPS;NA;NA;1
andere zoogdieren;Hamster;Burchtentelling hamster;;Integraal;1;generatie1;1;2016;EPS;NA;NA;1
andere zoogdieren;Hazelmuis;Hazelmuis - Transect;;Integraal;1;generatie1;2;2016;EPS;3/10/2021;25/10/2021;1
andere zoogdieren;Hazelmuis - Nestbuizen;Hazelmuis - Nestbuizen;;Integraal;1;generatie1;4;2020;EPS;15/04/2021;15/11/2021;1
andere zoogdieren;Otter;Otter;;Inhaalslag;12;generatie1;1;2018;EPS;31/10/2021;1/04/2022;1
dagvlinders;Aardbeivlinder;Vlinders - Transecten;;Integraal;1;generatie1;3;2017;VPS;1/05/2021;31/05/2021;1
dagvlinders;Argusvlinder;Vlinders - Transecten;;Steekproef;3;generatie1;3;2016;VPS;1/05/2021;31/05/2021;1
dagvlinders;Argusvlinder;Vlinders - Transecten;;Steekproef;3;generatie2;3;2016;VPS;20/07/2021;20/08/2021;1
dagvlinders;Bruin dikkopje;Vlinders - Transecten;;Integraal;1;generatie1;3;2017;VPS;1/05/2021;31/05/2021;1
dagvlinders;Bruin dikkopje;Vlinders - Transecten;;Integraal;1;generatie2;3;2017;VPS;20/07/2021;20/08/2021;1
dagvlinders;Bruine eikenpage;Vlinders - Gebiedstelling;;Integraal;1;generatie1;3;2018;VPS;15/06/2021;15/07/2021;1
dagvlinders;Gentiaanblauwtje;Vlinders - Eitellingen;;Integraal;1;generatie1;1;2016;VPS;1/08/2021;15/09/2021;1
dagvlinders;Grote weerschijnvlinder;Vlinders - Gebiedstelling;;Integraal;1;generatie1;3;2018;VPS;15/06/2021;25/07/2021;1
dagvlinders;Heivlinder;Vlinders - Transecten;;Steekproef;3;generatie1;3;2016;VPS;20/07/2021;31/08/2021;1
dagvlinders;Klaverblauwtje;Vlinders - Transecten;;Integraal;1;generatie1;3;2017;VPS;1/05/2021;31/05/2021;1
dagvlinders;Klaverblauwtje;Vlinders - Transecten;;Integraal;1;generatie2;3;2017;VPS;10/07/2021;10/08/2021;1
dagvlinders;Kommavlinder;Vlinders - Transecten;;Integraal;1;generatie1;3;2016;VPS;1/08/2021;31/08/2021;1
dagvlinders;Moerasparelmoervlinder;Vlinders - Transecten;;Integraal;1;generatie1;3;2020;EPS;1/05/2021;31/05/2021;1
dagvlinders;Oranje zandoogje;Vlinders - Transecten;;Steekproef;3;generatie1;3;2017;VPS;10/07/2021;15/08/2021;1
dagvlinders;Veldparelmoervlinder;Vlinders - Transecten;;Integraal;1;generatie1;3;2016;VPS;1/05/2021;31/05/2021;1
libellen;Beekrombout;Libellen - Larvenhuidjes Beekrombout;;Integraal;1;generatie1;2;2018;VPS;1/05/2021;31/05/2021;1
libellen;Bosbeekjuffer;Libellen - Transect;;Steekproef;3;generatie1;3;2018;VPS;20/05/2021;20/08/2021;1
